,id,players,ball,ball_x,ball_y
54,305,"4369,2139;3625,853;4318,3066;5564,2336;5712,3959;3335,4436;1251,3380;3616,1887;3574,3063;4718,5442;4364,3988;9342,3411;5048,1090;4870,1892;6005,2825;5408,3910;6294,3442;5408,519;7133,2189;7164,3952;4789,6378;5104,3453","6294,3442",6294,3442
55,306,"4367,2131;3625,853;4320,3057;5579,2331;5726,3933;3333,4439;1258,3380;3615,1887;3577,3063;4729,5437;4360,3980;9342,3411;5035,1095;4855,1897;6000,2819;5402,3902;6300,3432;5400,513;7137,2182;7167,3956;4776,6380;5099,3454","6300,3432",6300,3432
56,307,"4364,2124;3627,853;4323,3047;5595,2325;5741,3911;3330,4441;1265,3381;3614,1888;3580,3063;4740,5431;4357,3973;9342,3412;5022,1099;4840,1903;5996,2814;5397,3894;6305,3422;5392,506;7141,2175;7171,3960;4764,6382;5094,3453","6305,3422",6305,3422
57,308,"4362,2116;3629,852;4325,3038;5611,2319;5755,3889;3328,4443;1272,3382;3613,1888;3584,3062;4752,5425;4353,3965;9341,3412;5008,1103;4825,1910;5992,2809;5392,3884;6311,3411;5385,499;7145,2168;7175,3964;4752,6384;5088,3451","6311,3411",6311,3411
58,309,"4359,2108;3631,851;4328,3028;5628,2313;5770,3867;3325,4445;1278,3383;3612,1888;3587,3062;4763,5419;4349,3958;9341,3413;4993,1107;4811,1917;5987,2804;5387,3873;6317,3400;5377,492;7150,2161;7180,3968;4742,6386;5083,3448","6317,3400",6317,3400
59,310,"4356,2099;3634,850;4331,3018;5645,2307;5785,3844;3323,4446;1286,3384;3611,1887;3591,3061;4775,5412;4345,3950;9341,3413;4979,1112;4797,1926;5983,2798;5382,3863;6323,3389;5369,486;7155,2152;7185,3972;4732,6388;5078,3445","6323,3389",6323,3389
60,311,"4354,2091;3638,848;4334,3007;5662,2301;5801,3819;3321,4447;1293,3384;3610,1887;3596,3060;4787,5404;4341,3943;9341,3414;4965,1114;4782,1935;5979,2792;5377,3853;6328,3378;5362,481;7160,2144;7191,3976;4723,6390;5073,3441","6328,3378",6328,3378
61,312,"4351,2083;3642,846;4338,2997;5679,2294;5817,3792;3318,4448;1300,3384;3609,1888;3601,3060;4798,5396;4337,3935;9340,3414;4950,1114;4768,1944;5975,2787;5372,3843;6333,3368;5354,476;7165,2136;7197,3980;4715,6392;5067,3437","6333,3368",6333,3368
62,313,"4349,2075;3647,843;4341,2986;5697,2286;5834,3768;3317,4448;1308,3384;3608,1889;3606,3059;4811,5388;4333,3927;9340,3413;4936,1115;4753,1954;5971,2780;5367,3835;6337,3358;5346,471;7171,2127;7204,3983;4708,6394;5062,3433","6337,3358",6337,3358
63,314,"4347,2068;3652,841;4345,2977;5715,2278;5850,3748;3315,4448;1315,3385;3608,1889;3611,3058;4823,5380;4329,3919;9341,3412;4923,1116;4738,1963;5967,2774;5362,3827;6341,3347;5338,466;7176,2118;7210,3987;4702,6397;5057,3429","6341,3347",6341,3347
64,315,"4346,2061;3657,838;4349,2968;5734,2272;5866,3729;3313,4448;1322,3385;3607,1889;3617,3057;4836,5372;4326,3910;9341,3411;4909,1118;4724,1973;5963,2768;5358,3820;6345,3336;5331,461;7183,2107;7216,3991;4697,6400;5052,3425","6345,3336",6345,3336
65,316,"4345,2054;3664,835;4353,2959;5753,2266;5883,3711;3312,4448;1328,3385;3606,1889;3622,3055;4850,5365;4322,3902;9341,3411;4896,1122;4710,1981;5960,2761;5353,3812;6349,3324;5324,455;7189,2097;7222,3995;4692,6403;5047,3422","6349,3324",6349,3324
66,317,"4345,2046;3671,833;4357,2951;5774,2260;5900,3692;3310,4448;1334,3385;3606,1890;3628,3052;4863,5357;4319,3894;9342,3410;4881,1125;4695,1990;5957,2753;5349,3804;6352,3312;5317,448;7194,2088;7229,4000;4688,6407;5042,3418","6352,3312",6352,3312
67,318,"4345,2037;3679,831;4362,2942;5793,2252;5918,3670;3309,4448;1340,3384;3606,1891;3635,3049;4877,5349;4316,3885;9343,3408;4867,1128;4681,1999;5955,2745;5345,3796;6355,3302;5310,441;7200,2079;7237,4004;4684,6411;5037,3415","6355,3302",6355,3302
68,319,"4345,2029;3688,829;4367,2933;5813,2241;5938,3648;3308,4448;1345,3382;3607,1891;3641,3044;4890,5339;4313,3877;9344,3407;4852,1130;4668,2011;5953,2736;5341,3787;6357,3292;5303,434;7206,2070;7244,4008;4682,6415;5032,3411","6383,3238",6383,3238
69,320,"4345,2021;3696,826;4372,2923;5834,2229;5957,3627;3308,4448;1350,3379;3608,1890;3649,3040;4904,5328;4311,3869;9345,3404;4837,1131;4655,2022;5952,2728;5338,3778;6358,3284;5296,426;7212,2061;7253,4012;4680,6420;5027,3406","6421,3178",6421,3178
70,321,"4346,2015;3705,824;4378,2913;5855,2217;5977,3609;3308,4448;1356,3377;3611,1889;3656,3035;4917,5318;4308,3860;9347,3402;4823,1131;4642,2034;5951,2719;5335,3769;6358,3275;5290,418;7217,2053;7261,4017;4680,6424;5022,3401","6459,3119",6459,3119
71,322,"4348,2008;3715,820;4385,2903;5878,2207;5997,3590;3308,4447;1361,3373;3616,1889;3664,3029;4931,5307;4306,3849;9348,3400;4808,1132;4629,2044;5951,2710;5332,3760;6358,3266;5284,410;7222,2046;7270,4022;4681,6428;5017,3395","6495,3060",6495,3060
72,323,"4350,1999;3724,817;4392,2893;5901,2196;6017,3572;3309,4447;1367,3370;3621,1888;3671,3024;4945,5296;4304,3838;9351,3398;4794,1133;4615,2053;5950,2701;5329,3751;6358,3257;5278,403;7227,2038;7279,4027;4683,6432;5012,3390","6532,3003",6532,3003
73,324,"4352,1990;3735,813;4400,2883;5923,2185;6038,3552;3310,4446;1372,3366;3627,1887;3679,3018;4960,5287;4303,3826;9354,3395;4781,1133;4601,2062;5950,2691;5327,3742;6357,3247;5272,396;7232,2032;7289,4033;4686,6436;5007,3385","6567,2947",6567,2947
74,325,"4355,1979;3746,810;4407,2873;5946,2174;6058,3533;3311,4445;1378,3362;3633,1887;3687,3011;4975,5278;4302,3814;9357,3392;4767,1134;4588,2070;5950,2683;5325,3733;6356,3236;5267,389;7236,2026;7298,4038;4689,6440;5003,3380","6603,2891",6603,2891
75,326,"4359,1969;3758,808;4415,2863;5968,2164;6078,3514;3312,4445;1383,3358;3640,1887;3694,3003;4990,5270;4302,3802;9360,3389;4754,1135;4575,2079;5950,2674;5323,3723;6355,3224;5262,382;7240,2020;7307,4043;4693,6445;4998,3376","6637,2837",6637,2837
76,327,"4364,1958;3770,806;4422,2854;5992,2155;6099,3497;3313,4444;1388,3355;3648,1886;3701,2995;5005,5261;4301,3790;9363,3388;4740,1137;4562,2088;5951,2664;5321,3713;6353,3211;5257,375;7243,2013;7316,4048;4697,6448;4993,3371","6671,2783",6671,2783
77,328,"4369,1947;3783,803;4430,2846;6016,2147;6119,3480;3315,4444;1393,3351;3656,1885;3709,2987;5019,5250;4302,3779;9365,3387;4727,1137;4550,2098;5952,2654;5320,3704;6351,3199;5253,368;7247,2005;7325,4055;4701,6452;4988,3367","6704,2730",6704,2730
78,329,"4375,1935;3796,799;4439,2838;6040,2137;6139,3464;3316,4444;1397,3347;3666,1884;3717,2979;5034,5238;4302,3768;9368,3386;4714,1137;4537,2108;5953,2642;5318,3694;6348,3189;5250,361;7251,1996;7334,4062;4706,6455;4984,3363","6737,2679",6737,2679
79,330,"4382,1918;3811,796;4447,2831;6064,2124;6159,3448;3318,4444;1402,3343;3677,1883;3726,2971;5048,5225;4302,3759;9369,3387;4701,1136;4524,2118;5955,2630;5317,3686;6345,3176;5247,353;7254,1986;7343,4069;4712,6458;4979,3358","6769,2628",6769,2628
80,331,"4388,1900;3826,794;4455,2823;6087,2110;6179,3432;3321,4443;1406,3337;3688,1882;3735,2964;5063,5214;4303,3750;9372,3387;4689,1135;4510,2127;5957,2619;5315,3678;6341,3164;5246,345;7258,1976;7352,4075;4718,6461;4975,3352","6801,2578",6801,2578
81,332,"4395,1884;3841,790;4463,2814;6111,2097;6199,3415;3323,4443;1411,3331;3701,1881;3745,2957;5078,5203;4304,3742;9374,3387;4676,1134;4497,2136;5959,2607;5314,3671;6337,3153;5246,334;7260,1967;7362,4082;4725,6463;4971,3346","6832,2529",6832,2529
82,333,"4402,1871;3857,787;4471,2806;6136,2085;6220,3400;3327,4443;1416,3326;3713,1880;3754,2950;5094,5193;4304,3734;9377,3386;4664,1134;4483,2144;5961,2596;5312,3663;6332,3144;5246,325;7263,1958;7372,4089;4733,6465;4968,3339","6862,2482",6862,2482
83,334,"4410,1858;3873,782;4478,2797;6160,2075;6240,3384;3330,4442;1421,3321;3727,1879;3763,2942;5109,5185;4305,3725;9381,3384;4653,1134;4470,2150;5963,2584;5312,3655;6327,3134;5247,316;7265,1950;7381,4095;4741,6466;4964,3333","6892,2435",6892,2435
84,335,"4417,1846;3890,776;4485,2788;6184,2066;6260,3369;3333,4441;1427,3316;3740,1878;3772,2933;5123,5177;4306,3716;9386,3380;4642,1133;4457,2156;5967,2570;5311,3647;6322,3124;5249,308;7266,1943;7390,4103;4749,6467;4961,3325","6921,2389",6921,2389
